train/reward_min,train/learning_rate,time/time_elapsed,train/std,train/reward_mean,train/reward_max,train/entropy_loss,train/explained_variance,train/value_loss,train/n_updates,train/reward,train/policy_loss,time/fps,time/iterations,time/total_timesteps
-2.828438,5e-05,40266,4.388114929199219,-0.7224043607711792,2.9127443,-84.00958251953125,0.0,1.559126377105713,600299,-0.6729313,90.58639526367188,238,600300,9604800
-16.574915,5e-05,40273,4.390124797821045,0.6969039440155029,14.656798,-84.02301788330078,0.478738009929657,46.996185302734375,600399,13.055396,378.05694580078125,238,600400,9606400
-5.4223185,5e-05,40280,4.391108989715576,-0.7830764055252075,5.463934,-84.02954864501953,0.0,16.591968536376953,600499,-5.4223185,-293.98712158203125,238,600500,9608000
-8.817307,5e-05,40286,4.3911943435668945,1.455698847770691,13.854726,-84.03009796142578,0.30643904209136963,410.02044677734375,600599,5.183552,-1404.28466796875,238,600600,9609600
-14.686795,5e-05,40293,4.393123149871826,-2.4918711185455322,2.6099539,-84.04228973388672,0.31547021865844727,6.795072555541992,600699,-14.686795,81.550048828125,238,600700,9611200
-25.829935,5e-05,40300,4.39400053024292,2.820781946182251,32.371166,-84.04859161376953,0.07502681016921997,35.81149673461914,600799,-14.939068,76.29279327392578,238,600800,9612800
-3.8128915,5e-05,40306,4.39499568939209,-0.2764739990234375,4.8388357,-84.05530548095703,-0.5408941507339478,60.41179656982422,600899,-1.1694872,534.1787719726562,238,600900,9614400
-63.779118,5e-05,40313,4.394954681396484,-7.914981365203857,28.663706,-84.05517578125,0.13051378726959229,376.0048828125,600999,7.3575497,-929.1766357421875,238,601000,9616000
-9.380076,5e-05,40320,4.395787715911865,-0.4481409192085266,10.236889,-84.06057739257812,0.34987789392471313,80.9097900390625,601099,-9.380076,-569.5314331054688,238,601100,9617600
-48.19026,5e-05,40326,4.396510124206543,5.040678977966309,62.641106,-84.0654067993164,0.19012463092803955,2442.95849609375,601199,44.145912,1937.6488037109375,238,601200,9619200
-12.881947,5e-05,40333,4.397882461547852,-0.10088273882865906,14.190549,-84.07461547851562,-0.3543442487716675,406.1268615722656,601299,3.9961343,1574.59912109375,238,601300,9620800
-4.315692,5e-05,40340,4.398467540740967,0.07264325767755508,3.1489975,-84.07874298095703,0.45165789127349854,3.5197126865386963,601399,1.7319086,1.7384109497070312,238,601400,9622400
-9.244213,5e-05,40346,4.399157524108887,0.5651541948318481,16.71829,-84.0832748413086,-0.4699063301086426,76.91184997558594,601499,-9.244213,91.83965301513672,238,601500,9624000
-5.5273523,5e-05,40353,4.401472568511963,1.163337230682373,12.274152,-84.09825897216797,0.6193906664848328,3.1988563537597656,601599,-0.29754683,61.56808090209961,238,601600,9625600
-10.497913,5e-05,40359,4.401752471923828,2.182788610458374,14.956195,-84.10027313232422,0.16528910398483276,48.17203903198242,601699,4.278642,-232.33580017089844,238,601700,9627200
-8.756175,5e-05,40366,4.401592254638672,-0.938016414642334,3.562545,-84.09893798828125,0.3310105800628662,18.05830955505371,601799,1.4352226,-280.6468505859375,238,601800,9628800
-23.67934,5e-05,40373,4.401712417602539,2.2306017875671387,45.89622,-84.09967803955078,0.326851487159729,1322.50439453125,601899,-1.362414,2702.9130859375,238,601900,9630400
-3.7371857,5e-05,40379,4.40289831161499,1.1782747507095337,11.844278,-84.10758209228516,0.2909114360809326,263.473876953125,601999,2.0501235,-1299.4119873046875,238,602000,9632000
-118.75298,5e-05,40386,4.402495384216309,-1.0065431594848633,74.72842,-84.1048583984375,0.518704354763031,1597.9564208984375,602099,-118.75298,-2835.670654296875,238,602100,9633600
-11.50186,5e-05,40393,4.404038906097412,-0.07052289694547653,15.636961,-84.11499786376953,0.6457834839820862,180.43084716796875,602199,-1.4734982,1094.566162109375,238,602200,9635200
-4.2942295,5e-05,40399,4.404160976409912,0.40215563774108887,3.6572897,-84.11579132080078,0.2787410020828247,2.070425033569336,602299,1.4951854,21.242555618286133,238,602300,9636800
-1.9075966,5e-05,40406,4.404806613922119,2.58048152923584,14.414278,-84.11998748779297,0.6808346509933472,279.94256591796875,602399,8.476125,1147.5640869140625,238,602400,9638400
-5.569731,5e-05,40413,4.405490398406982,0.5831178426742554,6.52081,-84.12506866455078,0.11685246229171753,36.8839111328125,602499,3.9322877,463.6881103515625,238,602500,9640000
-11.037219,5e-05,40419,4.406051158905029,2.4344642162323,21.974115,-84.12835693359375,-0.050722718238830566,189.25283813476562,602599,-11.037219,-543.5545654296875,238,602600,9641600
-3.8071465,5e-05,40426,4.406896591186523,1.0006141662597656,10.275359,-84.13361358642578,0.03058493137359619,13.065471649169922,602699,4.49768,67.15355682373047,238,602700,9643200
-13.982924,5e-05,40433,4.407070636749268,3.455127000808716,13.933909,-84.13489532470703,0.3724589943885803,51.813663482666016,602799,2.372264,151.05535888671875,238,602800,9644800
-6.9138246,5e-05,40439,4.408097267150879,0.7928485870361328,6.3154054,-84.14179229736328,0.018428683280944824,54.23920440673828,602899,-1.6327481,501.5100402832031,238,602900,9646400
-14.774461,5e-05,40446,4.408462047576904,8.983824729919434,69.61337,-84.14403533935547,0.0049402713775634766,5757.826171875,602999,18.10886,4187.81396484375,238,603000,9648000
-9.480738,5e-05,40453,4.4097981452941895,-0.3761623501777649,7.5657964,-84.15290069580078,0.49136149883270264,48.73126220703125,603099,-1.2168167,426.40234375,238,603100,9649600
-0.67901844,5e-05,40459,4.410367488861084,0.3381582200527191,3.2531004,-84.15587615966797,0.3241642713546753,25.388072967529297,603199,-0.5816903,388.0721740722656,238,603200,9651200
-12.776148,5e-05,40466,4.412178993225098,1.9707744121551514,17.10533,-84.1686782836914,0.7459237575531006,46.00288772583008,603299,1.8871497,-239.52389526367188,238,603300,9652800
-4.1605973,5e-05,40473,4.413102149963379,0.6402038335800171,4.7534027,-84.17483520507812,0.09627783298492432,44.027191162109375,603399,1.2265325,-536.447509765625,238,603400,9654400
-30.1104,5e-05,40479,4.413480281829834,1.717153787612915,14.730833,-84.17719268798828,0.22901612520217896,168.4368896484375,603499,0.49941024,976.0657958984375,238,603500,9656000
-2.6872766,5e-05,40486,4.414887428283691,0.9328972101211548,3.9832163,-84.18595123291016,0.0,32.49048614501953,603599,1.3885685,450.0068054199219,238,603600,9657600
-16.484001,5e-05,40493,4.415284633636475,1.8943562507629395,22.36119,-84.1885986328125,-0.3033897876739502,780.834228515625,603699,-13.467102,1421.3819580078125,238,603700,9659200
-2.6124747,5e-05,40499,4.416625022888184,2.1164872646331787,12.406355,-84.19750213623047,-0.3359445333480835,5.829883098602295,603799,1.2791656,61.193267822265625,238,603800,9660800
-30.860535,5e-05,40506,4.417062759399414,-0.9644113779067993,30.860361,-84.20040893554688,0.44793784618377686,1408.25146484375,603899,7.382009,-1849.2047119140625,238,603900,9662400
-5.42199,5e-05,40513,4.418155670166016,0.7581409811973572,6.014206,-84.2063980102539,-0.37753236293792725,23.42932891845703,603999,-1.2754794,86.27656555175781,238,604000,9664000
-3.8171155,5e-05,40519,4.418641567230225,0.7133457064628601,4.19049,-84.21060180664062,-1.0915179252624512,31.611587524414062,604099,3.320523,356.24127197265625,238,604100,9665600
-14.973995,5e-05,40526,4.4191179275512695,3.425382375717163,21.022152,-84.21367645263672,0.6289054155349731,1441.591064453125,604199,5.485352,-3080.355712890625,238,604200,9667200
-2.9506357,5e-05,40533,4.420407295227051,0.5820527672767639,2.96416,-84.22219848632812,0.7206237316131592,10.273500442504883,604299,-1.5463924,80.11359405517578,238,604300,9668800
-6.187524,5e-05,40539,4.421200752258301,5.70522928237915,27.472496,-84.2273178100586,0.14629197120666504,181.44921875,604399,-0.9885509,-407.69866943359375,238,604400,9670400
-12.479353,5e-05,40546,4.422433853149414,-0.240661159157753,7.060772,-84.2354507446289,0.5932375192642212,19.062305450439453,604499,0.88628465,-167.3524932861328,238,604500,9672000
-59.17672,5e-05,40552,4.422991752624512,-2.06596040725708,25.737808,-84.2391128540039,0.5522919297218323,847.9561157226562,604599,15.322488,-584.5193481445312,238,604600,9673600
-10.96591,5e-05,40559,4.42406702041626,-0.7258263826370239,4.2895727,-84.24566650390625,-0.07335186004638672,9.40609359741211,604699,0.17367843,171.9164276123047,238,604700,9675200
-21.67598,5e-05,40566,4.424715042114258,1.7011663913726807,42.312584,-84.25029754638672,0.24777865409851074,3330.2529296875,604799,-1.7317624,-2314.019287109375,238,604800,9676800
-5.8322124,5e-05,40572,4.426054954528809,1.032705545425415,8.600454,-84.259033203125,0.18313759565353394,259.42791748046875,604899,1.8196559,1220.638427734375,238,604900,9678400
-1.4651961,5e-05,40579,4.42644739151001,0.05322526395320892,1.2444624,-84.2604751586914,0.31921106576919556,276.9192810058594,604999,0.31017658,-696.9407958984375,238,605000,9680000
-10.207255,5e-05,40586,4.4275922775268555,-0.2955503761768341,7.5465846,-84.26909637451172,0.6393755674362183,117.79461669921875,605099,6.453261,718.1578369140625,238,605100,9681600
-2.6452544,5e-05,40592,4.428149700164795,-0.08579577505588531,1.5538613,-84.27204132080078,-1.1442859172821045,3.950453519821167,605199,-2.6452544,-93.79022979736328,238,605200,9683200
-12.389233,5e-05,40599,4.428878307342529,-1.738457202911377,3.1323256,-84.27787017822266,0.0,58.749755859375,605299,-3.948001,-583.6966552734375,238,605300,9684800
-4.4559784,5e-05,40606,4.42955207824707,0.27694278955459595,5.5825825,-84.28192901611328,-0.2617347240447998,48.189918518066406,605399,1.2982631,555.2294921875,238,605400,9686400
-15.19179,5e-05,40612,4.429150104522705,0.22181418538093567,16.326963,-84.27954864501953,0.2098131775856018,1900.6138916015625,605499,-5.821468,3195.261474609375,238,605500,9688000
-4.9298043,5e-05,40619,4.429646015167236,0.1421210616827011,5.1033654,-84.28290557861328,-5.219537258148193,58.66728973388672,605599,-3.7432559,520.2919921875,238,605600,9689600
-35.35333,5e-05,40626,4.4300537109375,-0.8176676034927368,28.531208,-84.28571319580078,-1.1920928955078125e-07,4737.23388671875,605699,-23.701715,5192.03125,238,605700,9691200
