time/total_timesteps,time/fps,train/reward,train/reward_mean,train/reward_max,time/iterations,time/time_elapsed,train/reward_min,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/explained_variance,train/std,train/approx_kl
8153088,245,-2.7885594,0.35463640093803406,82.56411,3981,33197,-130.28152,40.51507568359375,39800,-43.77752056121826,0.0010141234641196206,129.60114660263062,0.0001,0.1,0.116748046875,0.8581570982933044,1.0970150232315063,0.0056186467
8155136,245,4.500414,0.3856927156448364,40.0363,3982,33205,-29.895443,48.91584777832031,39810,-43.77753653526306,-0.0016732200718251988,129.03391056060792,0.0001,0.1,0.004248046875,0.8544716835021973,1.0970171689987183,0.0007372977
8157184,245,4.848802,0.22029860317707062,86.28912,3983,33213,-135.26236,31.405982971191406,39820,-43.778645753860474,-0.0017767404031474143,64.59230327606201,0.0001,0.1,0.013623046875,0.8426706790924072,1.097092866897583,0.0011274196
8159232,245,-0.16943868,0.36328980326652527,90.85535,3984,33222,-140.98848,31.050941467285156,39830,-43.78168296813965,-0.0024486311594955623,104.30632095336914,0.0001,0.1,0.0927734375,0.7976423501968384,1.0972273349761963,0.0031603961
8161280,245,-0.76302147,0.3901728093624115,81.77906,3985,33230,-127.7885,72.06324005126953,39840,-43.78180527687073,-0.00139676901162602,158.23974628448485,0.0001,0.1,0.075341796875,0.8483192920684814,1.0971572399139404,0.0040447796
8163328,245,-3.5423508,0.23176692426204681,20.14768,3986,33238,-15.750732,119.688232421875,39850,-43.780480766296385,-0.0010051966732135043,131.57075519561766,0.0001,0.1,0.02392578125,0.8269592523574829,1.0971475839614868,0.0007562543
8165376,245,2.6000059,0.30109158158302307,83.92843,3987,33246,-127.88392,11.980231285095215,39860,-43.781454753875735,-0.0018533650902099908,26.2152067899704,0.0001,0.1,0.1080078125,0.897869348526001,1.0972882509231567,0.0059734117
8167424,245,-0.10225707,0.3570120930671692,81.73018,3988,33255,-127.78615,42.70669174194336,39870,-43.78443775177002,-0.00028477144369389864,112.3010200023651,0.0001,0.1,0.1357421875,0.8736280798912048,1.0973528623580933,0.005021426
8169472,245,-7.597879,0.34574368596076965,38.895203,3989,33263,-32.29828,54.28976821899414,39880,-43.78503608703613,-0.002122701919870451,129.69534521102906,0.0001,0.1,0.023193359375,0.8489384055137634,1.0973265171051025,0.0014852425
8171520,245,2.2040296,0.24703603982925415,85.519165,3990,33271,-141.30585,40.411441802978516,39890,-43.787415742874146,0.014785464672604576,61.873315763473514,0.0001,0.1,0.32001953125,0.8346999883651733,1.0977119207382202,0.040219694
