train/reward_mean,time/episodes,train/actor_loss,train/critic_loss,time/time_elapsed,train/n_updates,train/learning_rate,train/reward_max,time/fps,train/reward,train/reward_min,time/total_timesteps
0.13183248046875,88,-14.811945915222168,0.6309242248535156,11729,254483,0.001,41.56433,21,6.8364687,-53.40141,254584
0.131832421875,92,-13.277191162109375,1.4450287818908691,12286,266055,0.001,41.56433,21,6.8364687,-53.40141,266156
0.131832421875,96,-12.504074096679688,0.7602822780609131,12844,277627,0.001,41.56433,21,6.8364687,-53.40141,277728
0.13183236328125,100,-11.139501571655273,0.325231671333313,13402,289199,0.001,41.56433,21,6.8364687,-53.40141,289300
0.1318322265625,104,-12.272964477539062,0.6104146242141724,13961,300771,0.001,41.56433,21,6.8364687,-53.40141,300872
0.13183220703125,108,-10.200385093688965,0.4142507016658783,14520,312343,0.001,41.56433,21,6.8364687,-53.40141,312444
0.13183220703125,112,-13.179457664489746,0.9587456583976746,15079,323915,0.001,41.56433,21,6.8364687,-53.40141,324016
0.13183244140625,116,-13.348363876342773,0.5940942764282227,15642,335487,0.001,41.56433,21,6.8364687,-53.40141,335588
0.13183244140625,120,-10.081489562988281,0.5631996393203735,16201,347059,0.001,41.56433,21,6.8364687,-53.40141,347160
0.131832490234375,124,-15.326183319091797,0.2799634337425232,16761,358631,0.001,41.56433,21,6.8364687,-53.40141,358732
0.131832412109375,128,-11.782404899597168,0.9739617705345154,17322,370203,0.001,41.56433,21,6.8364687,-53.40141,370304
0.131832626953125,132,-13.027615547180176,0.40881675481796265,17882,381775,0.001,41.56433,21,6.8364687,-53.40141,381876
0.131832626953125,136,-13.582362174987793,0.5257012844085693,18441,393347,0.001,41.56433,21,6.8364687,-53.40141,393448
0.131832529296875,140,-11.676834106445312,0.5626205801963806,19000,404919,0.001,41.56433,21,6.8364687,-53.40141,405020
0.131832529296875,144,-12.41018295288086,0.4343811273574829,19564,416491,0.001,41.56433,21,6.8364687,-53.40141,416592
0.131832529296875,148,-14.588769912719727,0.4282413125038147,20124,428063,0.001,41.56433,21,6.8364687,-53.40141,428164
0.131832587890625,152,-11.35038948059082,0.5149113535881042,20682,439635,0.001,41.56433,21,6.8364687,-53.40141,439736
0.13183240234375,156,-14.479843139648438,0.4442847669124603,21243,451207,0.001,41.56433,21,6.8364687,-53.40141,451308
0.13183236328125,160,-12.607150077819824,0.3251919150352478,21803,462779,0.001,41.56433,21,6.8364687,-53.40141,462880
0.13183236328125,164,-12.585443496704102,0.34116891026496887,22362,474351,0.001,41.56433,21,6.8364687,-53.40141,474452
0.1318324609375,168,-13.14841079711914,0.3851153254508972,22923,485923,0.001,41.56433,21,6.8364687,-53.40141,486024
0.1318324609375,172,-15.398260116577148,0.3301348388195038,23484,497495,0.001,41.56433,21,6.8364687,-53.40141,497596
0.131832470703125,176,-12.746735572814941,0.5076283812522888,24043,509067,0.001,41.56433,21,6.8364687,-53.40141,509168
0.131832392578125,180,-14.695406913757324,0.3122749924659729,24606,520639,0.001,41.56433,21,6.8364687,-53.40141,520740
0.131832646484375,184,-12.111968994140625,0.2816683351993561,25162,532211,0.001,41.56433,21,6.8364687,-53.40141,532312
0.131832646484375,188,-12.467522621154785,0.35531070828437805,25718,543783,0.001,41.56433,21,6.8364687,-53.40141,543884
0.131832578125,192,-12.106339454650879,0.3567703664302826,26273,555355,0.001,41.56433,21,6.8364687,-53.40141,555456
0.131832578125,196,-11.127508163452148,0.39135482907295227,26828,566927,0.001,41.56433,21,6.8364687,-53.40141,567028
0.131832578125,200,-12.81367015838623,0.6288161873817444,27384,578499,0.001,41.56433,21,6.8364687,-53.40141,578600
0.1318326171875,204,-13.168689727783203,0.9223507046699524,27940,590071,0.001,41.56433,21,6.8364687,-53.40141,590172
0.13183244140625,208,-11.998878479003906,1.9335532188415527,28495,601643,0.001,41.56433,21,6.8364687,-53.40141,601744
