train/reward_max,time/iterations,train/explained_variance,train/value_loss,train/n_updates,train/reward_min,time/fps,train/std,time/total_timesteps,train/entropy_loss,train/learning_rate,time/time_elapsed,train/policy_loss,train/reward,train/reward_mean
4.5593896,1600,0.11840111017227173,27.497787475585938,1599,-5.00348,165,1.01039719581604,25600,-40.01982116699219,5e-05,154,144.46533203125,3.8725016,0.4480835
1.755198,1700,-0.0025272369384765625,3.377870559692383,1699,-1.6761576,165,1.011374592781067,27200,-40.04656982421875,5e-05,164,-44.17532730102539,-0.111980416,0.20709787
2.7477746,1800,0.24659204483032227,4.341076850891113,1799,-2.3909419,165,1.0118807554244995,28800,-40.06086349487305,5e-05,174,71.05432891845703,-0.9513527,0.25762445
5.8904495,1900,0.06397908926010132,40.32667922973633,1899,-6.103428,165,1.0122066736221313,30400,-40.06962203979492,5e-05,183,146.4033203125,-3.3737838,1.0877228
1.0321978,2000,5.960464477539063e-08,0.774094820022583,1999,-0.7614124,165,1.012834072113037,32000,-40.087284088134766,5e-05,193,24.55636978149414,0.41938952,0.066109255
1.2347872,2100,0.18444520235061646,0.4336687922477722,2099,-1.9080125,165,1.0134246349334717,33600,-40.10348892211914,5e-05,203,10.880559921264648,0.14960039,0.20172918
3.820226,2200,-1.1920928955078125e-07,61.407230377197266,2199,-1.5609398,165,1.013867974281311,35200,-40.115726470947266,5e-05,213,282.8374328613281,1.2028362,0.11518206
1.1910174,2300,0.0,5.315679550170898,2299,-1.7387732,165,1.0147552490234375,36800,-40.14028549194336,5e-05,222,-73.10293579101562,-0.75654805,-0.20384677
2.6587832,2400,0.036395907402038574,5.016198635101318,2399,-2.3207939,165,1.015441656112671,38400,-40.15884780883789,5e-05,232,75.82972717285156,-2.3207939,-0.12885569
7.994248,2500,0.05375039577484131,45.57911682128906,2499,-2.854915,165,1.015884518623352,40000,-40.171443939208984,5e-05,242,6.966801643371582,5.110091,1.4357705
0.87193006,2600,-1.1920928955078125e-07,1.019603967666626,2599,-2.4934893,165,1.0165032148361206,41600,-40.188106536865234,5e-05,251,-36.3061637878418,0.7235227,-0.29228294
1.840112,2700,0.007138311862945557,21.132244110107422,2699,-3.6951916,165,1.0176904201507568,43200,-40.22079849243164,5e-05,261,-137.734130859375,-0.83675045,-0.6480384
1.9533035,2800,-0.13744843006134033,4.080545902252197,2799,-2.2441528,165,1.0180258750915527,44800,-40.22976303100586,5e-05,271,60.15326690673828,0.57367015,0.28071395
0.88440794,2900,0.0,4.864226818084717,2899,-0.7685381,165,1.0183026790618896,46400,-40.237796783447266,5e-05,280,-86.23648834228516,-0.39523768,0.028730458
1.5043246,3000,-0.13700687885284424,1.182106375694275,2999,-0.8180185,165,1.0199813842773438,48000,-40.284061431884766,5e-05,290,0.783665657043457,1.5043246,0.28364432
1.5321907,3100,-0.06257426738739014,61.477378845214844,3099,-1.1020579,165,1.0202713012695312,49600,-40.29190444946289,5e-05,300,296.27935791015625,-1.1020579,0.28238317
11.146108,3200,0.10197442770004272,188.3946533203125,3199,-8.611781,165,1.0204402208328247,51200,-40.2967529296875,5e-05,309,-429.8229064941406,-2.8657744,1.3719851
1.3787754,3300,-0.2538793087005615,0.5470592975616455,3299,-2.157253,165,1.021285057067871,52800,-40.31980514526367,5e-05,319,-25.856372833251953,0.33811468,-0.11611068
4.96953,3400,0.0011638402938842773,63.886112213134766,3399,-4.2534013,165,1.0217581987380981,54400,-40.33292007446289,5e-05,329,-268.7571105957031,1.0356069,0.38408688
5.3421154,3500,-0.016206979751586914,15.88113021850586,3499,-5.148495,165,1.0222059488296509,56000,-40.345096588134766,5e-05,338,118.18938446044922,2.861911,1.2457863
